Name,Address,Suburb,Postcode,State,Business Category,LGA,Region,,,,,
Pakenham Skate Park,Henry Street,Pakenham,3810,VIC,Skate Parks,Cardinia,Southern Metro
Point Cook Skate Park,Boardwalk Boulevard,Point Cook,3030,VIC,Skate Parks,,
Point Lonsdale Skate Park,240 Point Lonsdale Road,Point Lonsdale,3225,VIC,Skate Parks,Queenscliffe (b),Barwon S/W
Port Melbourne Skate Park,Intersedtion of Graham & Evans Streets,Port Melbourne,3207,VIC,Skate Parks,Port Phillip,Southern Metro
Prahran Bowl and Vert Ramp,Malvern Road,Prahran,3181,VIC,Skate Parks,Stonnington,Southern Metro
Reservoir Skate Park,Edwardes Lake Park,Reservoir,3073,VIC,Skate Parks,Darebin,North and West Metropolitan Region
Riverside Skate Park,Alexandra Gardens,Melbourne,3000,VIC,Skate Parks,Melbourne,North and West Metropolitan Region
Riverslide Skate Park,Boathouse Drive,Melbourne,3001,VIC,Skate Parks,Melbourne,North and West Metropolitan Region
Rollerway Newtown Skate Centre,6 Lambert Avenue,Newtown,3220,VIC,Skate Parks,Greater Geelong,Barwon S/W
Rutherglen Skate Park,Murray Street,Rutherglen,3073,VIC,Skate Parks,Indigo,Hume; Hume Region
Rye Skate Park,Off Melbourne Road,Rye,3941,VIC,Skate Parks,Mornington Peninsula,Southern Metro
Sale Skate Park,Park Street,Sale,3850,VIC,Skate Parks,Wellington,Gippsland
Sandringham Bowl,Royal Avenue,Sandringham,3191,VIC,Skate Parks,Bayside,Southern Metro
Seaford Skate Park,Railway Parade,Seaford,3198,VIC,Skate Parks,Frankston,Southern Metro
Shepparton Skate Park,Goulburn Valley Highway,Shepparton,3630,VIC,Skate Parks,Greater Shepparton,Hume; Hume Region
Spotswood Vert Ramp,Donald McLean Reserve,Spotswood,3015,VIC,Skate Parks,Maribyrnong ; Hobsons Bay,North and West Metropolitan Region; Metropolitan North & West Region
St Albans Skate Park,Taylors Road,St Albans,3021,VIC,Skate Parks,Brimbank,North and West Metropolitan Region
Strathmore Ramp,Boeing Reserve,Strathmore,3041,VIC,Skate Parks,Moonee Valley,North and West Metropolitan Region
Sunbury Skate Park,Cornish Street,Sunbury,3429,VIC,Skate Parks,Melton ; Hume,North and West Metropolitan Region
Thomastown Bowl,Main Street Reserve,Thomastown,3074,VIC,Skate Parks,Whittlesea,North and West Metropolitan Region
Torquay Skate Park,Beach Road,Torquay,3228,VIC,Skate Parks,Surf Coast,Barwon S/W
Traralgon Skate Park,Agnes Brereton Park,Traralgon,3844,VIC,Skate Parks,La Trobe,Gippsland
Upwey Skate Park,Mahony Street,Upwey,3158,VIC,Skate Parks,Yarra Ranges,Eastern Metro
Vermont Vert Ramp,Burwood Highway,Vermont,3133,VIC,Skate Parks,"Whitehorse , Maroondah",Eastern Metro
Wallan Park Skate Park,Bentinick Street,Wallan,3756,VIC,Skate Parks,Whittlesea ; Macedon Ranges ; Mitchell,North and West Metropolitan Region; Loddon-Mallee; Hume
Wangaratta Skate Park,Corner of Park Lane and Edward Street,Wangaratta,3676,VIC,Skate Parks,Wangaratta Rural,Hume
Warragul Skate Park,Burke Street Park,Warragul,3820,VIC,Skate Parks,Baw Baw,Gippsland
Warrandyte Skate Park,Taroona Avenue,Warrandyte,3113,VIC,Skate Parks,"Nillumbik , Manningham",Eastern Metro
Warrnambool Skate Park,Warrnambool Park,Warrnambool,3280,VIC,Skate Parks,Warrnambool,Barwon S/W
Waurn Ponds Skate Park,Waurn Ponds Valley Parklands,Waurn Ponds,3216,VIC,Skate Parks,"Surf Coast , Greater Geelong , Colac-otway , Golden Plains","Grampians, Barwon S/W;"
Wendouree Bowl,Cnr Norman & Dowling Streets,Wendouree,3355,VIC,Skate Parks,Ballarat,Grampians
West Heidelberg Skate Park,Malahang Reserve,Heidelberg West,3081,VIC,Skate Parks,Banyule,North and West Metropolitan Region
