Service Name,Street,Suburb,Postcode,State,LGA
Alexandra & District Kindergarten,15 Bayley Street,ALEXANDRA,3714,VIC,MURRINDINDI SHIRE
Alexandra Avenue Children's Centre,31 Alexandra Avenue,SUNSHINE,3020,VIC,BRIMBANK CITY
Alexandra Street Kindergarten, Cnr Alexandra Street and Morrell Street,MOOROOPNA,3629,VIC,GREATER SHEPPARTON CITY
Alfred Child Care Centre, 11 Alfred Lane,MELBOURNE,3004,VIC,MELBOURNE CITY
Alfred Nuttall Memorial Kindergarten,34 Separation Street,FAIRFIELD,3078,VIC,DAREBIN CITY
Alfred Road Kindergarten,48A Alfred Road,GLEN IRIS,3146,VIC,BOROONDARA CITY
Alfredton Child Care Centre,83 Elaine Avenue,ALFREDTON,3350,VIC,BALLARAT CITY
Alfredton Preschool,6 Balyarta Street,ALFREDTON,3350,VIC,BALLARAT CITY
Alice Johnson Kindergarten, Park Boulevard,FERNTREE GULLY,3156,VIC,KNOX CITY
All for Kids Childcare and Early Learning Centre,L1 767-773 Mt Alexander Road,MOONEE PONDS,3039,VIC,MOONEE VALLEY CITY
All Saints Preschool Yarra Junction Inc,2438 Warburton Highway,YARRA JUNCTION,3797,VIC,YARRA RANGES SHIRE
Allansford & District Preschool,82 Ziegler Parade,ALLANSFORD,3277,VIC,WARRNAMBOOL CITY
Allanvale Preschool,28 Allanvale Avenue,LEOPOLD,3224,VIC,GREATER GEELONG CITY
Allara Kindergarten,15-17 Gleneagles Drive,ENDEAVOUR HILLS,3802,VIC,CASEY CITY
Allora Kindergarten,1 Symmons Street,LEONGATHA,3953,VIC,SOUTH GIPPSLAND SHIRE
Alpha Children's Centre,8 Corsair Street,RICHMOND,3121,VIC,YARRA CITY
Alphington Grammar Preschool,18 Old Heidelberg Road,ALPHINGTON,3078,VIC,YARRA CITY
Alpine View Children's Centre,23 Deacon Avenue,BRIGHT,3741,VIC,ALPINE SHIRE
Alto Early Learning,24-26 Malcolm Road,LANGWARRIN,3910,VIC,FRANKSTON CITY
Altona Gate Kindergarten,80 Walker Close,ALTONA NORTH,3025,VIC,HOBSONS BAY CITY
Altona Kindergarten,89 Blyth Street,ALTONA,3018,VIC,HOBSONS BAY CITY
Altona Meadows Children's Centre,342 Queen Street,ALTONA MEADOWS,3028,VIC,HOBSONS BAY CITY
Altona Meadows Kindergarten,65-71 Powlett Street,ALTONA MEADOWS,3028,VIC,HOBSONS BAY CITY
Altona North Children's Centre,10 Fifth Avenue,ALTONA NORTH,3025,VIC,HOBSONS BAY CITY
Altona North Early Childhood Centre,30 Ronald Avenue,ALTONA NORTH,3025,VIC,HOBSONS BAY CITY
Altona West Kindergarten,14 Lindwood Ave,ALTONA,3018,VIC,HOBSONS BAY CITY
Alvie and District Kindergarten Inc., Corangamite Lake Road,CORAGULAC,3249,VIC,COLAC-OTWAY SHIRE
Amberley Park Childcare & Early Learning Centre,2 - 4 Amberly Park Drive,NARRE WARREN,3805,VIC,CASEY CITY
Amici - Westbourne Early Learning Centre,300 Sayers Road,HOPPERS CROSSING,3029,VIC,WYNDHAM CITY
Anaconda Child Care Centre,102 Anaconda Road,NARRE WARREN,3805,VIC,CASEY CITY
Anderson Road Child Care Centre,145 Anderson Road,ALBION,3020,VIC,BRIMBANK CITY
Andrews Community Kindergarten,210 Henty Way,PAKENHAM,3810,VIC,CARDINIA SHIRE
Anglesea Kindergarten, McMillan Street,ANGLESEA,3230,VIC,SURF COAST SHIRE
Angliss Children's Centre, Cnr Vipont St & Seelaf Sq,FOOTSCRAY,3011,VIC,MARIBYRNONG CITY
Anne Sgro Children's Centre,45-47 May Street,COBURG,3058,VIC,MORELAND CITY
Annie Dennis Children's Centre,2 Oldis Avenue,NORTHCOTE,3070,VIC,DAREBIN CITY
Annie Galvin Early Learning Centre, 2 Gladstone Street,BENDIGO,3550,VIC,GREATER BENDIGO CITY
Antonine Sisters Child Care Centre,11-13 Barrow Street,COBURG,3058,VIC,MORELAND CITY
Apex Preschool,7 Howarth Street,ELLIMINYT,3250,VIC,COLAC-OTWAY SHIRE
Apollo Bay Kindergarten,35 McLachlan Street,APOLLO BAY,3233,VIC,COLAC-OTWAY SHIRE
Apollo Parkways Preschool,31 Plenty River Drive,GREENSBOROUGH,3088,VIC,BANYULE CITY
Appin Park Kindergarten,69A Appin Street,WANGARATTA,3677,VIC,WANGARATTA RURAL CITY
Appletree Hill Kindergarten,37 Shepherd Road,GLEN WAVERLEY,3150,VIC,MONASH CITY
Ararat North Kinder Care,66 Blake Street,ARARAT,3377,VIC,ARARAT RURAL CITY
Arbourlea Kindergarten,75 Wheelers Pde,CRANBOURNE NORTH,3977,VIC,CASEY CITY
Ardlie Street Early Learning Centre,24-26 Ardlie Street,WESTMEADOWS,3049,VIC,HUME CITY
